,V,GraphT,DLoopT,BellmanT,FloydT,BestT,MinEdCT,MaxEdCT,MinEdWT,MaxEdWT,MiECnMaIn,MaECnMaIn,MiEdWeNeWe,MaEdWeNeWe,MinCoefT,MaxCoefT,MinEigT,MaxEigT,MinEcce,MaxEcce,MinKCore,MaxKCore,MinTria,MaxTria,MinTwoHop,MaxTwoHop,EdgeCnt,Perm,pSkip
87,128,0.4752,22.6012,5.2000,1.9091,0.0000,10.0927,10.4240,10.4164,10.1703,9.2355,9.1833,10.1878,10.5852,13.8257,13.7817,10.3863,10.4012,0.0000,0.0000,10.2740,10.3624,10.7808,11.1330,11.1782,11.1956,1457.0000,0.0000,0.0000,
36,128,2.7742,89.1055,12.6528,1.6306,0.0000,24.3784,24.3705,24.3451,24.4545,23.7834,23.4078,26.8079,26.7842,200.4345,71.9052,21.6100,21.6495,0.0000,0.0000,21.2465,21.2456,28.0814,27.9879,28.2647,27.9046,6120.0000,0.0000,0.0000,
63,128,1.7858,64.7263,9.5314,1.7181,0.0000,20.3916,20.3693,20.1998,20.4716,143.7643,17.8561,19.6809,19.6526,51.2909,51.4622,18.7467,18.7597,0.0000,0.0000,18.2994,18.4764,23.6086,23.6711,22.4004,22.5901,4827.0000,0.0000,0.0000,
105,128,0.1468,9.0264,3.0139,1.6820,0.0000,5.7377,5.8821,5.8195,5.7646,4.5177,4.6573,5.8363,5.8654,6.0690,5.9649,5.8537,6.0036,0.0000,0.0000,5.7530,5.9118,5.6895,5.8695,5.6783,5.9413,437.0000,0.0000,0.0000,
43,128,3.1630,97.2081,12.7913,1.6321,0.0000,25.2867,25.0679,25.0346,25.2491,24.8564,24.4803,27.9856,27.7259,208.1653,81.7826,22.4232,22.2824,0.0000,0.0000,22.2009,21.9991,29.1063,29.0191,29.6482,29.3641,6461.0000,0.0000,0.0000,
107,128,0.1171,7.7309,2.9835,1.5915,0.0000,5.2009,5.2946,5.3311,5.3376,4.1497,4.1991,5.1496,5.3771,5.4778,5.4706,5.4684,5.5441,0.0000,0.0000,5.3080,5.3314,5.2827,5.3382,5.0390,5.4409,376.0000,0.0000,0.0000,
95,128,0.4859,24.3901,5.1721,1.8287,0.0000,10.8158,10.8413,10.8286,10.5184,9.7844,9.8345,11.0301,11.0658,14.7590,14.6998,11.0005,10.8988,0.0000,0.0000,10.8672,10.8360,11.6497,11.6376,11.6808,11.6895,1534.0000,0.0000,0.0000,
65,128,2.0129,69.3671,10.2672,1.6934,0.0000,21.2160,21.1789,21.4067,145.6371,18.5513,18.4357,20.4161,20.5693,56.3430,56.3041,19.5848,19.4483,0.0000,0.0000,19.2910,19.3522,24.9203,24.9394,24.4018,24.3217,5217.0000,0.0000,0.0000,
25,128,3.6608,103.3961,14.3750,1.6229,0.0000,26.3619,26.4521,26.2146,26.5693,25.2966,25.6520,29.4187,153.1074,86.5298,86.2489,23.0884,23.1463,0.0000,0.0000,22.6025,22.7854,29.9825,29.9864,30.5353,30.4794,6692.0000,0.0000,0.0000,
45,128,3.5749,106.9202,14.3858,1.6005,0.0000,26.1176,26.5496,26.5665,26.7074,25.3974,25.8090,29.1461,152.5392,88.3009,87.5736,23.1577,23.1744,0.0000,0.0000,22.8579,22.8864,29.6637,30.1298,30.8825,30.9143,6785.0000,0.0000,0.0000,
69,128,1.5971,58.2259,8.0440,126.5476,0.0000,17.6487,17.6529,17.6503,17.4619,16.4904,16.6304,18.6956,18.6847,47.5360,47.3451,17.9418,17.7275,0.0000,0.0000,17.4967,17.8152,22.5233,22.3794,21.5606,21.5626,4515.0000,0.0000,0.0000,
33,128,3.5810,108.5410,14.0581,1.6093,0.0000,26.7077,26.7158,26.7347,26.8558,25.7760,25.8714,29.9200,152.4092,92.3536,88.4594,23.3456,23.2959,0.0000,0.0000,22.8049,22.7007,30.3280,30.2809,30.6949,31.2417,6840.0000,0.0000,0.0000,
35,128,3.8975,107.2534,15.4796,1.6014,0.0000,27.0712,27.2327,27.3131,27.4161,26.5569,26.6636,30.3951,152.4506,91.4290,90.5894,23.4827,23.6248,0.0000,0.0000,23.3416,23.1770,30.4930,30.6221,31.7659,31.5290,6953.0000,0.0000,0.0000,
18,128,3.9195,110.0301,14.6184,1.6040,0.0000,27.0749,27.1742,27.2806,27.1827,26.3027,26.7264,30.3381,152.3019,92.4012,91.2559,23.7711,23.6602,0.0000,0.0000,23.3654,23.4469,30.7987,30.7305,31.4996,31.6615,7011.0000,0.0000,0.0000,
71,128,1.6529,180.7195,8.4334,1.7629,0.0000,17.7082,17.6763,17.5718,17.4997,16.9230,16.6507,18.6821,18.6745,48.2435,48.1635,17.9679,17.9414,0.0000,0.0000,17.5309,17.7026,22.2928,22.3450,21.6823,21.5135,4504.0000,0.0000,0.0000,
34,128,4.7944,120.0329,16.6767,1.5746,0.0000,29.2424,28.8994,29.4200,29.5670,28.5701,28.4426,154.8319,27.0133,101.3045,100.8537,25.1213,25.2849,0.0000,0.0000,24.6937,24.7156,32.2687,32.2389,34.7899,34.8863,7601.0000,0.0000,0.0000,
28,128,5.4525,123.6634,17.0499,1.5674,0.0000,30.0941,29.7745,29.5961,30.3186,29.5091,29.2168,153.8927,27.5853,103.6460,102.7530,25.4780,25.3791,0.0000,0.0000,25.0797,25.0510,32.4588,32.4909,35.2817,35.2559,7756.0000,0.0000,0.0000,
2,128,5.6361,123.8832,17.1903,1.5650,0.0000,30.2025,29.9335,30.1555,30.3211,29.4080,29.4177,154.6497,27.7760,103.8936,103.7236,25.5965,25.3514,0.0000,0.0000,25.2776,25.3103,32.8945,32.7681,35.5613,35.8256,7802.0000,0.0000,0.0000,
55,128,5.4086,124.4481,17.7605,1.5622,0.0000,30.1154,30.4192,30.3295,30.3187,29.6226,154.0354,27.7747,27.9234,103.6031,103.3653,25.5479,25.5026,0.0000,0.0000,25.2029,25.1769,32.6298,32.7637,35.0101,35.6709,7799.0000,0.0000,0.0000,
125,128,0.1411,7.0900,2.8093,1.6406,0.0000,5.1495,5.2293,5.2258,5.2366,4.1707,4.2211,5.1851,5.2668,5.4317,5.3686,5.2771,5.3812,0.0000,0.0000,4.9053,5.2299,4.9637,5.3010,5.2156,5.3584,370.0000,0.0000,0.0000,
83,128,1.5327,55.1147,8.6652,1.7536,0.0000,18.0383,18.1349,18.0912,18.0864,17.1447,17.0542,18.9411,19.1848,47.0877,47.1178,18.3388,18.4712,0.0000,0.0000,18.1651,18.2043,21.9128,22.1840,21.3932,21.5238,4097.0000,0.0000,0.0000,
89,128,1.4428,54.0438,8.4812,1.7225,0.0000,17.8867,17.9111,17.9118,18.0151,16.6591,16.9024,18.9910,18.9637,46.3405,46.3034,18.0836,18.1863,0.0000,0.0000,17.9224,17.9123,21.8552,21.8724,21.3528,21.4332,4029.0000,0.0000,0.0000,
100,128,0.9440,39.8970,6.9373,1.7843,0.0000,14.9176,14.9105,14.9405,14.9013,13.8372,13.8787,15.5063,15.5092,30.1952,29.9790,15.0262,15.0146,0.0000,0.0000,14.9508,15.0071,17.5952,17.6052,17.1782,17.1865,2972.0000,0.0000,0.0000,
110,128,0.6745,31.8836,6.0316,1.8891,0.0000,12.5521,12.6421,12.6820,12.4426,11.2241,11.4231,12.9719,13.0641,20.4305,20.5103,12.9507,12.9542,0.0000,0.0000,12.6475,12.7490,14.0701,14.2519,13.9398,14.0093,2133.0000,0.0000,0.0000,
85,128,1.7593,62.4717,9.2885,1.7157,0.0000,19.7561,19.7076,19.5440,19.6476,18.6931,18.6744,20.9916,20.9856,55.0745,54.9796,19.9888,19.9834,0.0000,0.0000,19.6854,19.7406,24.7849,24.6968,24.2667,24.2965,4642.0000,0.0000,0.0000,
90,128,1.6118,58.9047,9.1284,1.7300,0.0000,19.1430,19.1965,19.1396,19.0950,17.8765,18.2199,20.3662,20.4023,52.1107,52.4445,19.3770,19.5026,0.0000,0.0000,19.2724,19.2078,23.9103,23.9687,23.1856,23.3253,4456.0000,0.0000,0.0000,
82,128,1.8637,63.9491,10.0049,1.6901,0.0000,19.8243,20.2527,20.3366,20.5537,19.3756,19.1185,21.2650,21.5610,58.1820,58.7033,20.7015,20.5244,0.0000,0.0000,20.3748,20.3101,25.3187,25.6488,25.3445,25.3840,4867.0000,0.0000,0.0000,
98,128,1.2962,50.5967,7.8943,1.7725,0.0000,16.9917,17.1423,17.0551,16.9905,16.1408,16.1739,17.8509,17.9880,41.8950,41.9192,17.4386,17.3272,0.0000,0.0000,17.1565,17.0486,20.3758,20.4580,20.1256,20.0900,3726.0000,0.0000,0.0000,
81,128,1.9877,68.3548,10.7374,1.6937,0.0000,21.1254,21.3202,21.2869,21.4581,20.1879,20.3696,22.9830,23.0348,63.0694,62.9867,21.7077,21.5069,0.0000,0.0000,21.4103,21.4630,27.2177,27.2201,26.8228,26.7975,5171.0000,0.0000,0.0000,
80,128,2.1293,75.6206,10.6995,1.6690,0.0000,22.1860,22.1218,22.1580,22.0037,21.2718,21.0897,23.7332,23.8372,66.7049,66.7040,22.4638,22.4574,0.0000,0.0000,21.9175,22.1004,28.1022,28.3072,28.0828,28.1219,5419.0000,0.0000,0.0000,
