,V,GraphT,DLoopT,BellmanT,FloydT,BestT,MinEdCT,MaxEdCT,MinEdWT,MaxEdWT,MiECnMaIn,MaECnMaIn,MiEdWeNeWe,MaEdWeNeWe,MinCoefT,MaxCoefT,MinEigT,MaxEigT,MinEcce,MaxEcce,MinKCore,MaxKCore,MinTria,MaxTria,MinTwoHop,MaxTwoHop,EdgeCnt,Perm,pSkip
17,64,0.0725,1.4689,0.3664,0.1760,0.0000,0.9281,1.1595,1.1342,1.1865,18.5053,10.5741,1.0383,1.0462,1.0601,1.0645,1.0295,1.0848,0.0000,0.0000,0.9490,1.0476,4.0535,3.1975,1.0597,13.3570,104.0000,0.0000,0.0000,
47,64,0.0641,1.2305,0.4028,0.1984,0.0000,0.9044,0.9671,0.9485,0.9681,0.7028,0.6833,0.8093,13.4726,1.0117,1.0243,1.1149,1.1860,0.0000,0.0000,1.0050,1.0182,1.2757,1.4714,1.0502,1.1402,98.0000,0.0000,0.0000,
53,64,0.0563,1.1805,0.3672,0.1818,0.0000,0.7251,0.9836,0.9875,1.0031,0.7012,0.8597,0.7811,1.0148,1.0263,1.0623,1.0370,1.1208,0.0000,0.0000,0.9692,1.0442,1.2097,1.3894,0.9458,1.0833,98.0000,0.0000,0.0000,
48,64,0.0603,1.7601,0.5271,0.2013,0.0000,1.1648,1.2421,1.2381,1.2278,0.8742,11.2200,1.1549,1.3205,1.3708,1.3726,1.2629,1.3438,0.0000,0.0000,1.2824,1.3234,1.7814,2.0004,1.3341,1.4996,152.0000,0.0000,0.0000,
57,64,0.0742,1.2207,0.3970,0.1826,0.0000,0.8797,1.0690,1.0589,1.0459,3.5144,2.5097,1.0154,1.1454,1.1476,1.1635,1.1597,1.2493,0.0000,0.0000,1.1091,1.1244,1.3757,1.4803,1.0834,1.1168,110.0000,0.0000,0.0000,
61,64,0.0484,1.2299,0.3415,0.1753,0.0000,0.8552,1.1419,1.1251,1.1412,4.5584,3.1834,1.0446,1.2465,1.2472,1.2257,1.0666,1.2278,0.0000,0.0000,1.0915,1.1473,1.3085,1.5134,0.9282,1.0772,107.0000,0.0000,0.0000,
60,64,0.0641,1.4998,0.4197,0.1855,0.0000,0.8208,1.0661,1.0517,1.0305,4.4175,2.7306,0.8915,1.1500,1.0346,1.0796,0.9582,1.1532,0.0000,0.0000,1.1113,1.2004,1.9405,2.1505,1.0306,1.2168,102.0000,0.0000,0.0000,
55,64,0.0725,1.6181,0.4063,0.1869,0.0000,1.0024,1.1771,1.1853,1.1853,4.7810,3.2221,1.0392,1.3703,1.3447,1.3024,1.1208,1.2753,0.0000,0.0000,1.1717,1.2201,1.1902,1.5174,1.0508,1.2364,131.0000,0.0000,0.0000,
42,64,0.0684,1.6311,0.4639,0.1932,0.0000,1.1843,1.3171,1.3981,1.4262,16.9474,9.2656,1.1748,1.1840,1.2406,1.2132,1.1657,1.2248,0.0000,0.0000,1.1998,1.2604,3.4280,3.3852,23.5942,1.4181,135.0000,0.0000,0.0000,
59,64,0.0442,0.7987,0.3118,0.1687,0.0000,0.7537,0.8409,0.8535,0.8294,0.6169,0.6417,0.7582,13.9923,0.9185,0.9235,0.9659,1.0092,0.0000,0.0000,0.8383,0.8745,1.2602,1.2001,0.6938,0.8482,77.0000,0.0000,0.0000,
70,64,0.0476,1.2877,0.3541,0.1731,0.0000,0.7541,1.0074,1.0375,1.0700,5.0256,3.7306,0.9710,1.1838,1.0523,1.0613,0.9860,1.1232,0.0000,0.0000,0.9791,1.0170,1.2948,1.2861,0.9730,1.0374,96.0000,0.0000,0.0000,
69,64,0.0459,1.1731,0.3531,0.1752,0.0000,0.7967,0.9468,0.9511,0.9597,5.9175,4.3336,1.0649,1.1474,1.1551,1.1222,1.0459,1.0821,0.0000,0.0000,1.0072,1.1263,2.2858,1.8971,0.9614,1.1232,89.0000,0.0000,0.0000,
63,64,0.0562,1.7411,0.3990,0.2065,0.0000,1.0073,1.1598,1.1798,1.1886,6.3448,5.6114,1.0859,1.3040,1.2839,1.2585,1.1464,1.2192,0.0000,0.0000,1.0254,1.1555,1.4471,2.0486,1.1735,1.3042,125.0000,0.0000,0.0000,
80,64,0.0491,0.7890,0.3728,0.1729,0.0000,0.6892,0.9745,0.9515,0.9737,6.1371,4.6276,0.7993,0.9241,0.8872,0.8676,0.9810,1.0802,0.0000,0.0000,0.7937,0.8742,1.5002,2.2155,0.7676,0.8983,77.0000,0.0000,0.0000,
62,64,0.0589,1.9323,0.4357,0.1978,0.0000,1.1067,1.2822,1.3456,1.3105,5.8623,5.1449,1.2197,1.4107,1.3651,1.3282,1.1846,1.3632,0.0000,0.0000,1.2570,1.2903,1.5022,2.5055,1.1561,1.3090,131.0000,0.0000,0.0000,
73,64,0.0486,1.1380,0.3961,0.1846,0.0000,0.7441,1.0674,1.0626,1.1150,6.8840,5.2260,0.8955,1.0599,1.0517,1.0400,0.8408,1.0325,0.0000,0.0000,0.8380,1.0219,1.5393,2.2787,0.8674,1.1397,105.0000,0.0000,0.0000,
79,64,0.0497,0.7873,0.3209,0.1658,0.0000,0.6496,0.8911,0.9888,0.9826,6.8669,4.8530,0.7539,0.9111,0.7746,0.7801,1.6683,1.7397,0.0000,0.0000,0.8214,0.8745,1.9262,1.4252,0.8153,0.8859,77.0000,0.0000,0.0000,
71,64,0.0550,1.5705,0.3878,0.1813,0.0000,1.0225,1.2408,1.2446,1.2676,6.8967,5.5815,1.1672,1.3066,1.3096,1.2363,1.1498,1.2699,0.0000,0.0000,1.1488,1.2562,1.9706,1.9515,1.0385,1.2411,127.0000,0.0000,0.0000,
65,64,0.0558,1.6115,0.4571,0.1840,0.0000,1.0294,2.2678,1.1825,1.1724,6.4898,7.5704,1.3445,1.4509,1.3802,1.3230,1.1354,1.3260,0.0000,0.0000,1.3123,1.3433,2.2029,2.0223,1.1112,1.3475,123.0000,0.0000,0.0000,
78,64,0.0478,0.9365,0.3154,0.1675,0.0000,0.7193,0.9025,0.9651,0.9458,7.0179,8.3938,1.1309,1.0681,0.8771,1.0649,1.1555,1.2661,0.0000,0.0000,0.8646,0.9454,1.6686,1.9027,0.8563,0.9133,77.0000,0.0000,0.0000,
75,64,0.0588,2.1377,0.5162,0.2045,0.0000,1.0676,1.3394,1.3806,1.3879,6.9490,4.1735,1.1324,1.3018,1.3115,1.3004,1.2146,1.3563,0.0000,0.0000,1.1458,1.2845,1.5261,1.7997,1.1785,1.3232,136.0000,0.0000,0.0000,
